,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject,error
0,"[9764,10969,22446]",14393,5,314ms,4,3,10,false
1,"[3028,10053,2405]",5162,5,331ms,4,3,10,false
2,"[11855,6303,2408]",6856,5,193ms,4,3,10,false
3,"[15085,536,2966,213,1021,2868,10435,23283,14469]",7876,3,334ms,10,9,10,true
4,"[21442,29486]",25464,4,363ms,3,2,10,false
5,"[13277,22750,34149]",23392,4,245ms,4,3,11,false
6,"[5087,4701,26514,3399,145,1141,13626,1116,84,5937,7161,12234,1775,3455,27553]",7596,3,405ms,16,15,11,false
7,[14637],14637,4,123ms,2,1,11,false
8,"[23492,619,4573,1790,4936,2429,7997,1490,23990]",7924,3,179ms,10,9,11,false
9,[7898],7898,3,179ms,2,1,11,false
10,"[109,3631,6176,5503,962,13165,18620,4771]",6618,4,190ms,9,8,11,true
11,[9589],9589,5,389ms,2,1,12,false
12,"[19159,1261,3263,14224,9478,3193,9274,671,2987,2964,6078,22136,6641,4660,1543,1257,447,1649,6505,551,7080,4090,2227,886,309,1490,6312,1114,990,3728,12861,12934,3230]",5309,3,259ms,34,33,12,true
13,"[7230,20211,3190]",10211,3,393ms,4,3,12,false
14,"[9474,7860,594,2317,6067,3344,5143,4959]",4970,2,324ms,9,8,12,true
15,"[4926,18455,5179]",9520,3,525ms,4,3,12,false
16,"[28246,15450,5272,8108]",14269,4,251ms,5,4,1,false
17,"[10785,11508,4365,23927,9650,2966]",10534,4,345ms,7,6,1,false
18,"[7500,11905,5740,3515]",7165,4,309ms,5,4,1,false
19,[4666],4666,4,184ms,2,1,1,false
20,"[6420,9098,18157,4137]",9453,3,186ms,5,4,1,true
21,"[13719,4556]",9138,4,203ms,3,2,1,false
22,"[13946,13335,19445,5760]",13122,5,303ms,5,4,2,false
23,"[8081,4484,2980]",5182,5,255ms,4,3,2,false
24,"[10671,3240,2597]",5503,5,367ms,4,3,2,false
25,"[7246,3709,6645]",5867,3,421ms,4,3,2,true
26,[4798],4798,5,393ms,2,1,2,false
27,"[31226,9568,12905,8778]",15620,4,330ms,5,4,3,false
28,"[7093,6740,7844]",7226,4,363ms,4,3,3,false
